3/12/2021 Ultratop - Singles - 20/02/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,20/02/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,1,6,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1
2,4,12,Tiësto,The Business,ATLANTIC,WARNER,2
3,3,16,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
4,5,9,The Kid Laroi,Without You,COLUMBIA,SONY,2
5,6,6,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,5
6,2,19,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
7,9,8,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
8,36,2,Nathan Evans,Wellerman,POLYDOR,UNIVERSAL,8
9,11,14,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7
10 10,,11,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
11 7,,28,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
12 8,,19,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8
13 20,,15,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,13
14 14,,6,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,14
15 13,,14,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12
16 17,,5,HVME,Goosebumps,B1,SONY,16
17 19,,14,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
18 21,,24,Tate McRae,You Broke Me First,RCA,SONY,4
19 16,,6,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16
20 22,,7,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19
21 15,,25,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
22 38,,4,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,22
23 28,,23,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
24 12,,16,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
25 26,,3,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,25
26 23,,8,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,23
27 18,,26,BTS,Dynamite,BIGHIT,SONY,5
28 34,,20,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
29 35,,5,Sheppard,Learning To Fly,DECCA,UNIVERSAL,25
30 33,,63,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
31 30,,5,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,30
32 29,,33,Banners,Someone To You,ISLAND,UNIVERSAL,8
33 37,,22,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
34 27,,14,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
35 41,,13,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
36 32,,17,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
37 31,,3,Maude [BE],Dance You Off,MOSTIKO,CNR,31
38 25,,11,Lil Nas X,Holiday,COLUMBIA,SONY,9
39 45,,3,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,39
40 RE,,2,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,40
41 39,,22,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
42 50,,2,Sara Kays,Remember That Night?,ATLANTIC,WARNER,42
43 24,,26,Miley Cyrus,Midnight Sky,RCA,SONY,6
44 49,,38,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
45 47,,29,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
46 NEW,,1,Dua Lipa,We're Good,WARNER,WARNER,46
47 NEW,,1,JC Stewart,Break My Heart,WARNER,WARNER,47
48 43,,7,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40
49 40,,21,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
50 NEW,,1,Harry Styles,Treat People With Kindness,COLUMBIA,SONY,50
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210220,,,,,,,1/1
